name,id,range_start,range_end
D_median_household_income,B19001D_017E,200000,250001
D_median_family_income,B19101D_002E,2500,9999
D_median_family_income,B19101D_003E,10000,14999
D_median_family_income,B19101D_004E,15000,19999
D_median_family_income,B19101D_005E,20000,24999
D_median_family_income,B19101D_006E,25000,29999
D_median_family_income,B19101D_007E,30000,34999
D_median_family_income,B19101D_008E,35000,39999
D_median_family_income,B19101D_009E,40000,44999
D_median_family_income,B19101D_010E,45000,49999
D_median_family_income,B19101D_011E,50000,59999
D_median_family_income,B19101D_012E,60000,74999
D_median_family_income,B19101D_013E,75000,99999
D_median_family_income,B19101D_014E,100000,124999
D_median_family_income,B19101D_015E,125000,149999
D_median_family_income,B19101D_016E,150000,199999
D_median_family_income,B19101D_017E,200000,250001
H_median_household_income,B19001H_002E,2500,9999
H_median_household_income,B19001H_003E,10000,14999
H_median_household_income,B19001H_004E,15000,19999
H_median_household_income,B19001H_005E,20000,24999
H_median_household_income,B19001H_006E,25000,29999
H_median_household_income,B19001H_007E,30000,34999
H_median_household_income,B19001H_008E,35000,39999
H_median_household_income,B19001H_009E,40000,44999
H_median_household_income,B19001H_010E,45000,49999
H_median_household_income,B19001H_011E,50000,59999
H_median_household_income,B19001H_012E,60000,74999
H_median_household_income,B19001H_013E,75000,99999
H_median_household_income,B19001H_014E,100000,124999
H_median_household_income,B19001H_015E,125000,149999
H_median_household_income,B19001H_016E,150000,199999
H_median_household_income,B19001H_017E,200000,250001
H_median_family_income,B19101H_002E,2500,9999
H_median_family_income,B19101H_003E,10000,14999
H_median_family_income,B19101H_004E,15000,19999
H_median_family_income,B19101H_005E,20000,24999
H_median_family_income,B19101H_006E,25000,29999
H_median_family_income,B19101H_007E,30000,34999
H_median_family_income,B19101H_008E,35000,39999
H_median_family_income,B19101H_009E,40000,44999
H_median_family_income,B19101H_010E,45000,49999
H_median_family_income,B19101H_011E,50000,59999
H_median_family_income,B19101H_012E,60000,74999
H_median_family_income,B19101H_013E,75000,99999
H_median_family_income,B19101H_014E,100000,124999
H_median_family_income,B19101H_015E,125000,149999
H_median_family_income,B19101H_016E,150000,199999
H_median_family_income,B19101H_017E,200000,250001
I_median_household_income,B19001I_002E,2500,9999
I_median_household_income,B19001I_003E,10000,14999
I_median_household_income,B19001I_004E,15000,19999
I_median_household_income,B19001I_005E,20000,24999
I_median_household_income,B19001I_006E,25000,29999
I_median_household_income,B19001I_007E,30000,34999
I_median_household_income,B19001I_008E,35000,39999
I_median_household_income,B19001I_009E,40000,44999
I_median_household_income,B19001I_010E,45000,49999
I_median_household_income,B19001I_011E,50000,59999
I_median_household_income,B19001I_012E,60000,74999
I_median_household_income,B19001I_013E,75000,99999
I_median_household_income,B19001I_014E,100000,124999
I_median_household_income,B19001I_015E,125000,149999
I_median_household_income,B19001I_016E,150000,199999
I_median_household_income,B19001I_017E,200000,250001
I_median_family_income,B19101I_002E,2500,9999
I_median_family_income,B19101I_003E,10000,14999
I_median_family_income,B19101I_004E,15000,19999
I_median_family_income,B19101I_005E,20000,24999
I_median_family_income,B19101I_006E,25000,29999
I_median_family_income,B19101I_007E,30000,34999
I_median_family_income,B19101I_008E,35000,39999
I_median_family_income,B19101I_009E,40000,44999
I_median_family_income,B19101I_010E,45000,49999
I_median_family_income,B19101I_011E,50000,59999
I_median_family_income,B19101I_012E,60000,74999
I_median_family_income,B19101I_013E,75000,99999
I_median_family_income,B19101I_014E,100000,124999
I_median_family_income,B19101I_015E,125000,149999
I_median_family_income,B19101I_016E,150000,199999
I_median_family_income,B19101I_017E,200000,250001
